"occurrence_no","record_type","reid_no","flags","collection_no","identified_name","identified_rank","identified_no","difference","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no","lng","lat","phylum","class","order","family","genus","cx_int_no"
"130209","occ","","","10755","Chaoyangosaurus liaosiensis n. gen. n. sp.","species","65704","","Chaoyangsaurus youngi","species","55580","Late Kimmeridgian","Valanginian","152.21","132.6","13360","123.966698","42.933300","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Chaoyangsauridae","Chaoyangsaurus","2"
"130294","occ","","","10764","Protarchaeopteryx robusta n. gen. n. sp.","species","66068","","Protarchaeopteryx robusta","species","66068","Late Barremian","Early Aptian","125.77","119.57","4006","120.733330","41.799999","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Protarchaeopteryx","40"
"130295","occ","","","10764","Caudipteryx zoui n. gen. n. sp.","species","66066","","Caudipteryx zoui","species","66066","Late Barremian","Early Aptian","125.77","119.57","19421","120.733330","41.799999","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Caudipteryx","40"
"139242","occ","24752","","11890","Gorgosaurus sternbergi n. sp.","species","63900","","Gorgosaurus libratus","species","53194","Late Campanian","","83.6","72.2","13165","-111.528732","50.740726","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Gorgosaurus","113"
"139250","occ","23301","","11893","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","species","53194","Late Campanian","","83.6","72.2","4205","-111.549347","50.737015","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Gorgosaurus","113"
"139251","occ","","","11894","Centrosaurus apertus","species","63911","","Centrosaurus apertus","species","63911","Late Campanian","","83.6","72.2","16964","-111.528931","50.737297","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ceratopsidae","Centrosaurus","113"
"139252","occ","23302","","11895","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","species","53194","Late Campanian","","83.6","72.2","4205","-111.564636","50.723866","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Gorgosaurus","113"
"139253","occ","18699","","11896","Gorgosaurus libratus","species","53194","","Gorgosaurus libratus","species","53194","Late Campanian","","83.6","72.2","4205","-111.525337","50.740471","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Gorgosaurus","113"
"139254","occ","13634","","11897","Gorgosaurus libratus n. gen. n. sp.","species","53194","","Gorgosaurus libratus","species","53194","Late Campanian","","83.6","72.2","17547","-111.601021","50.786999","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Gorgosaurus","113"
"139255","occ","18015","","11898","Albertosaurus sarcophagus","species","56319","","Albertosaurus sarcophagus","species","56319","Late Maastrichtian","","72.2","66","9259","-112.981903","51.804600","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Albertosaurus","112"
"139256","occ","30781","","11899","Albertosaurus sarcophagus","species","56319","","Albertosaurus sarcophagus","species","56319","Early Maastrichtian","","72.2","66","4205","-112.981903","51.819099","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Albertosaurus","112"
"139257","occ","","","11900","Albertosaurus arctunguis n. sp.","species","63710","","Albertosaurus sarcophagus","species","56319","Early Maastrichtian","","72.2","66","12347","-112.818901","51.542702","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Albertosaurus","112"
"139258","occ","18014","","11901","Albertosaurus sarcophagus n. gen. n. sp.","species","56319","","Albertosaurus sarcophagus","species","56319","Early Maastrichtian","","72.2","66","9259","-112.842300","51.469898","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Albertosaurus","112"
"139259","occ","","","11902","Albertosaurus sarcophagus","species","56319","","Albertosaurus sarcophagus","species","56319","Early Maastrichtian","","72.2","66","4205","-112.702202","51.440800","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Albertosaurus","112"
"139260","occ","23238","","11604","Titanosaurus colberti n. sp.","species","64311","recombined as","Isisaurus colberti","species","64311","Maastrichtian","","72.2","66","4177","80.366669","21.183332","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Isisaurus","112"
"139261","occ","","","11903","Daspletosaurus torosus","species","57258","","Daspletosaurus torosus","species","57258","Late Campanian","","83.6","72.2","4205","-110.681999","49.083698","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Daspletosaurus","113"
"139290","occ","23303","","11915","Daspletosaurus torosus n. gen. n. sp.","species","57258","","Daspletosaurus torosus","species","57258","Middle Campanian","","83.6","72.2","4205","-111.485008","50.751526","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Daspletosaurus","113"
"139291","occ","38040","","11916","Albertosaurus sarcophagus","species","56319","","Albertosaurus sarcophagus","species","56319","Early Maastrichtian","","72.2","66","76179","-112.934799","51.928299","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Albertosaurus","112"
"139292","occ","22878","","11917","Tyrannosaurus rex","species","54833","","Tyrannosaurus rex","species","54833","Late Maastrichtian","","72.2","66","4218","-113.028900","51.906399","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Tyrannosaurus","112"
"139293","occ","","","11918","cf. Tyrannosaurus rex","species","54833","","Tyrannosaurus rex","species","54833","Late Maastrichtian","","72.2","66","4205","-113.233330","51.933334","Chordata","Saurischia","NO_ORDER_SPECIFIED","Tyrannosauridae","Tyrannosaurus","112"
