"orig_no","taxon_no","record_type","flags","taxon_rank","taxon_name","difference","accepted_no","accepted_rank","accepted_name","parent_no","parent_name","reference_no","is_extant","n_occs","firstapp_max_ma","firstapp_min_ma","lastapp_max_ma","lastapp_min_ma","early_interval","late_interval","taxon_size","extant_size","phylum","class","order","family","genus","type_taxon"
"395950","395951","txn","F","","Similifaveoloolithus gongzhulingensis","","395950","species","Similifaveoloolithus gongzhulingensis","395881","Similifaveoloolithus","76949","extinct","1","121.4","100.5","121.4","100.5","Aptian","Albian","1","0","Chordata","Reptilia","","Similifaveoloolithidae","Similifaveoloolithus",""
"162718","395882","txn","F","","Similifaveoloolithus shuangtangensis","","162718","species","Similifaveoloolithus shuangtangensis","395881","Similifaveoloolithus","31919","extinct","3","100.5","89.8","100.5","89.8","Cenomanian","Turonian","1","0","Chordata","Reptilia","","Similifaveoloolithidae","Similifaveoloolithus",""
"156091","156091","txn","IF","","Plectropterna lineans","","156091","species","Plectropterna lineans","155969","Plectropterna","29531","extinct","4","201.4","199.5","201.4","192.9","Hettangian","Sinemurian","1","0","Chordata","Reptilia","","","Plectropterna",""
"155977","155977","txn","IF","","Plectropterna angusta","","155977","species","Plectropterna angusta","155969","Plectropterna","29531","extinct","2","201.4","199.5","201.4","192.9","Hettangian","Sinemurian","1","0","Chordata","Reptilia","","","Plectropterna",""
"156090","156090","txn","IF","","Plectropterna gracilis","","156090","species","Plectropterna gracilis","155969","Plectropterna","29531","extinct","6","201.4","199.5","201.4","192.9","Hettangian","Sinemurian","1","0","Chordata","Reptilia","","","Plectropterna",""
"96938","156089","txn","IF","","Plectropterna minitans","","96938","species","Plectropterna minitans","155969","Plectropterna","51492","extinct","10","201.4","199.5","201.4","192.9","Hettangian","Sinemurian","1","0","Chordata","Reptilia","","","Plectropterna",""
"155979","155979","txn","IF","","Plectropterna elegans","","155979","species","Plectropterna elegans","155969","Plectropterna","30910","extinct","2","201.4","192.9","201.4","192.9","Hettangian","Sinemurian","1","0","Chordata","Reptilia","","","Plectropterna",""
"99471","99471","txn","F","","Phaceloolithus hunanensis","","99471","species","Phaceloolithus hunanensis","99470","Phaceloolithus","24215","extinct","1","100.5","66","100.5","66","Cenomanian","Maastrichtian","1","0","Chordata","Reptilia","","Phaceloolithidae","Phaceloolithus",""
"248690","248690","txn","F","","Dendroolithus fengguangcunensis","","248690","species","Dendroolithus fengguangcunensis","67270","Dendroolithus","77475","extinct","2","83.6","66","83.6","66","Campanian","Maastrichtian","1","0","Chordata","Reptilia","","Phaceloolithidae","Dendroolithus",""
"142702","142702","txn","F","","Dendroolithus xichuanensis","","142702","species","Dendroolithus xichuanensis","67270","Dendroolithus","93195","extinct","1","89.8","85.7","89.8","85.7","Coniacian","","1","0","Chordata","Reptilia","","Phaceloolithidae","Dendroolithus",""
"340760","340760","txn","F","","Dendroolithus furcatus","","340760","species","Dendroolithus furcatus","67270","Dendroolithus","59122","extinct","1","89.8","83.6","89.8","83.6","Coniacian","Santonian","1","0","Chordata","Reptilia","","Phaceloolithidae","Dendroolithus",""
"162719","162719","txn","F","","Dendroolithus dendriticus","","162719","species","Dendroolithus dendriticus","67270","Dendroolithus","31919","extinct","8","100.5","89.8","89.8","83.6","Cenomanian","Santonian","1","0","Chordata","Reptilia","","Phaceloolithidae","Dendroolithus",""
"340764","340764","txn","F","","Dendroolithus sanlimiaoensis","","340764","species","Dendroolithus sanlimiaoensis","67270","Dendroolithus","59122","extinct","3","89.8","83.6","85.7","83.6","Coniacian","Santonian","1","0","Chordata","Reptilia","","Phaceloolithidae","Dendroolithus",""
"67271","67271","txn","F","","Dendroolithus wangdianensis","","67271","species","Dendroolithus wangdianensis","67270","Dendroolithus","7720","extinct","1","100.5","66","100.5","66","Cenomanian","Maastrichtian","1","0","Chordata","Reptilia","","Phaceloolithidae","Dendroolithus",""
"340759","340759","txn","F","","Dendroolithus zhaoyingensis","","340759","species","Dendroolithus zhaoyingensis","67270","Dendroolithus","59122","extinct","1","89.8","83.6","89.8","83.6","Coniacian","Santonian","1","0","Chordata","Reptilia","","Phaceloolithidae","Dendroolithus",""
